Potential (V),Current (µA)
-0.35028,5.5999750000000005e-06
-0.352429,0.0
-0.354578,1.6799928e-05
-0.35672699999999996,1.1199951000000002e-05
-0.358876,0.0
-0.361025,5.5999750000000005e-06
-0.363174,1.6799928e-05
-0.365323,5.5999750000000005e-06
-0.36747199999999997,0.0
-0.369621,1.1199951000000002e-05
-0.37177,1.1199951000000002e-05
-0.373919,0.0
-0.37606799999999996,5.5999750000000005e-06
-0.37821699999999997,1.6799928e-05
-0.380366,5.5999750000000005e-06
-0.382515,0.0
-0.384664,1.6799928e-05
-0.38681299999999996,1.1199951000000002e-05
-0.388962,0.0
-0.391111,1.1199951000000002e-05
-0.39326,1.6799928e-05
-0.39540899999999995,5.5999750000000005e-06
-0.397557,0.0
-0.399706,1.6799928e-05
-0.40185499999999996,1.1199951000000002e-05
-0.404004,0.0
-0.406153,5.5999750000000005e-06
-0.408302,1.6799928e-05
-0.41045099999999995,5.5999750000000005e-06
-0.41259999999999997,0.0
-0.414749,1.6799928e-05
-0.416898,1.1199951000000002e-05
-0.419047,0.0
-0.42119599999999996,5.5999750000000005e-06
-0.42334499999999997,1.6799928e-05
-0.425494,5.5999750000000005e-06
-0.427643,0.0
-0.429792,1.6799928e-05
-0.43194099999999996,1.6799928e-05
-0.43409,5.5999750000000005e-06
-0.436239,5.5999750000000005e-06
-0.438388,1.6799928e-05
-0.44053699999999996,5.5999750000000005e-06
-0.44268599999999997,0.0
-0.444835,1.6799928e-05
-0.446984,1.6799928e-05
-0.449133,0.0
-0.45128199999999996,5.5999750000000005e-06
-0.45343,1.6799928e-05
-0.45557899999999996,1.1199951000000002e-05
-0.45772799999999997,0.0
-0.459877,1.6799928e-05
-0.462026,1.6799928e-05
-0.464175,0.0
-0.46632399999999996,5.5999750000000005e-06
-0.468473,1.6799928e-05
-0.470622,1.1199951000000002e-05
-0.472771,0.0
-0.47491999999999995,1.1199951000000002e-05
-0.47706899999999997,1.6799928e-05
-0.479218,5.5999750000000005e-06
-0.481367,5.5999750000000005e-06
-0.483516,1.6799928e-05
-0.48566499999999996,1.1199951000000002e-05
-0.48781399999999997,0.0
-0.489963,1.1199951000000002e-05
-0.492112,1.6799928e-05
-0.49426099999999995,5.5999750000000005e-06
-0.49640999999999996,5.5999750000000005e-06
-0.498559,1.6799928e-05
-0.5007079999999999,1.1199951000000002e-05
-0.498559,0.0
-0.49640999999999996,1.1199951000000002e-05
-0.49426099999999995,1.6799928e-05
-0.492112,5.5999750000000005e-06
-0.489963,5.5999750000000005e-06
-0.48781399999999997,1.6799928e-05
-0.48566499999999996,1.1199951000000002e-05
-0.483516,5.5999750000000005e-06
-0.481367,1.1199951000000002e-05
-0.479218,1.6799928e-05
-0.47706899999999997,5.5999750000000005e-06
-0.47491999999999995,5.5999750000000005e-06
-0.472771,1.6799928e-05
-0.470622,1.1199951000000002e-05
-0.468473,0.0
-0.46632399999999996,1.1199951000000002e-05
-0.464175,1.6799928e-05
-0.462026,5.5999750000000005e-06
-0.459877,5.5999750000000005e-06
-0.45772799999999997,1.6799928e-05
-0.45557899999999996,1.1199951000000002e-05
-0.45343,0.0
-0.45128199999999996,1.1199951000000002e-05
-0.449133,1.6799928e-05
-0.446984,5.5999750000000005e-06
-0.444835,5.5999750000000005e-06
-0.44268599999999997,1.6799928e-05
-0.44053699999999996,5.5999750000000005e-06
-0.438388,0.0
-0.436239,1.1199951000000002e-05
-0.43409,1.6799928e-05
-0.43194099999999996,0.0
-0.429792,5.5999750000000005e-06
-0.427643,1.6799928e-05
-0.425494,1.1199951000000002e-05
-0.42334499999999997,0.0
-0.42119599999999996,1.1199951000000002e-05
-0.419047,1.1199951000000002e-05
-0.416898,-5.5999750000000005e-06
-0.414749,-3.3599856e-05
-0.41259999999999997,-1.6799928e-05
-0.41045099999999995,-5.5999750000000005e-06
-0.408302,-5.5999750000000005e-06
-0.406153,5.5999750000000005e-06
-0.404004,1.1199951000000002e-05
-0.40185499999999996,0.0
-0.399706,5.5999750000000005e-06
-0.397557,1.6799928e-05
-0.39540899999999995,1.1199951000000002e-05
-0.39326,5.5999750000000005e-06
-0.391111,1.1199951000000002e-05
-0.388962,1.6799928e-05
-0.38681299999999996,5.5999750000000005e-06
-0.384664,5.5999750000000005e-06
-0.382515,1.6799928e-05
-0.380366,1.1199951000000002e-05
-0.37821699999999997,0.0
-0.37606799999999996,1.1199951000000002e-05
-0.373919,1.6799928e-05
-0.37177,5.5999750000000005e-06
-0.369621,5.5999750000000005e-06
-0.36747199999999997,1.6799928e-05
-0.365323,1.6799928e-05
-0.363174,5.5999750000000005e-06
-0.361025,1.1199951000000002e-05
-0.358876,2.2399902000000004e-05
-0.35672699999999996,5.5999750000000005e-06
-0.354578,5.5999750000000005e-06
-0.352429,1.6799928e-05
-0.35028,1.1199951000000002e-05
-0.34813099999999997,0.0
-0.345982,1.1199951000000002e-05
-0.343833,2.2399902000000004e-05
-0.341684,5.5999750000000005e-06
-0.339536,5.5999750000000005e-06
-0.337387,1.6799928e-05
-0.335238,1.6799928e-05
-0.33308899999999997,0.0
-0.33094,1.1199951000000002e-05
-0.328791,1.6799928e-05
-0.326642,5.5999750000000005e-06
-0.324493,0.0
-0.32234399999999996,1.6799928e-05
-0.320195,1.1199951000000002e-05
-0.318046,0.0
-0.315897,5.5999750000000005e-06
-0.31374799999999997,1.6799928e-05
-0.31159899999999996,5.5999750000000005e-06
-0.30945,5.5999750000000005e-06
-0.307301,1.6799928e-05
-0.305152,1.6799928e-05
-0.30300299999999997,0.0
-0.300854,1.1199951000000002e-05
-0.298705,1.6799928e-05
-0.296556,5.5999750000000005e-06
-0.294407,0.0
-0.29225799999999996,1.6799928e-05
-0.290109,1.6799928e-05
-0.28796,0.0
-0.285811,1.1199951000000002e-05
-0.283663,1.6799928e-05
-0.281514,5.5999750000000005e-06
-0.279365,5.5999750000000005e-06
-0.27721599999999996,1.6799928e-05
-0.275067,1.1199951000000002e-05
-0.272918,0.0
-0.270769,1.1199951000000002e-05
-0.26861999999999997,1.6799928e-05
-0.266471,5.5999750000000005e-06
-0.264322,0.0
-0.262173,1.6799928e-05
-0.260024,1.6799928e-05
-0.25787499999999997,5.5999750000000005e-06
-0.255726,1.1199951000000002e-05
-0.253577,1.6799928e-05
-0.251428,1.1199951000000002e-05
-0.249279,5.5999750000000005e-06
-0.24713,1.1199951000000002e-05
-0.24498099999999998,1.1199951000000002e-05
-0.242832,0.0
-0.24068299999999998,5.5999750000000005e-06
-0.238534,1.6799928e-05
-0.23638499999999998,5.5999750000000005e-06
-0.234236,5.5999750000000005e-06
-0.232087,1.1199951000000002e-05
-0.22993799999999998,1.1199951000000002e-05
-0.227789,0.0
-0.22564099999999998,5.5999750000000005e-06
-0.223492,1.6799928e-05
-0.22134299999999998,5.5999750000000005e-06
-0.219194,0.0
-0.217045,1.6799928e-05
-0.214896,1.6799928e-05
-0.212747,0.0
-0.21059799999999998,5.5999750000000005e-06
-0.208449,1.6799928e-05
-0.20629999999999998,5.5999750000000005e-06
-0.204151,0.0
-0.202002,1.6799928e-05
-0.199853,1.6799928e-05
-0.197704,0.0
-0.19555499999999998,5.5999750000000005e-06
-0.193406,1.6799928e-05
-0.19125699999999998,5.5999750000000005e-06
-0.189108,0.0
-0.186959,1.1199951000000002e-05
-0.18481,1.6799928e-05
-0.182661,0.0
-0.18051199999999998,5.5999750000000005e-06
-0.178363,1.6799928e-05
-0.17621399999999998,5.5999750000000005e-06
-0.174065,0.0
-0.17191599999999999,1.1199951000000002e-05
