Potential (V),Current (uA)
-0.071132808,-0.026230286000000002
-0.069156904,-0.026700682000000003
-0.06718099200000001,-0.026499084000000003
-0.065205076,-0.026504682
-0.063229164,-0.026319884
-0.061253252,-0.026840682000000005
-0.059277344,-0.026907882
-0.057301432000000006,-0.026790282000000002
-0.05532552,-0.026717482
-0.053349612000000005,-0.026991880000000003
-0.051373696,-0.026476684
-0.049397784,-0.026515882
-0.047421872000000004,-0.026571882000000005
-0.045445964000000005,-0.026655882000000002
-0.043470052,-0.026745482000000004
-0.041494140000000006,-0.026963882
-0.039518228,-0.026627884
-0.037542316,-0.026991880000000003
-0.035566404,-0.026549482000000003
-0.033590496000000004,-0.026672684000000002
-0.031614582,-0.026655882000000002
-0.029638672,-0.026700682000000003
-0.02766276,-0.02705348
-0.025686848,-0.026504682
-0.023710936000000002,-0.026599882000000002
-0.021735026,-0.026560682000000002
-0.019759114,-0.026963882
-0.017783202,-0.026952682000000002
-0.015807291,-0.026678282000000005
-0.01383138,-0.026655882000000002
-0.011855468000000001,-0.026605482
-0.009879557,-0.026566284000000003
-0.007903645,-0.02689108
-0.0059277340000000005,-0.026840682000000005
-0.003951822000000001,-0.026835082
-0.0019759110000000003,-0.026795882000000004
0.0,-0.026168684
